Id,SalePrice
1461,127028.45212688587
1462,118496.93021766144
1463,175212.55661694272
1464,200328.8402816058
1465,181964.18121496166
1466,172735.7382910515
1467,190214.38437053972
1468,166810.95330204428
1469,192663.0276337581
1470,114693.6000169546
1471,198749.93941531
1472,109110.53843889305
1473,104140.50925744901
1474,158598.46517407446
1475,121469.38454397945
1476,333312.0914655593
1477,236872.33180060386
1478,273377.7921851437
1479,263249.93452168186
1480,494760.5658624455
1481,300776.63323117374
1482,201936.4899907114
1483,168568.54875875203
1484,163908.96604322386
1485,185281.37231155098
1486,198592.27449305914
1487,311610.4228583162
1488,247066.21403937138
1489,176248.46615901528
1490,226947.6341805923
1491,192048.59710309864
1492,95035.51533552397
1493,209989.70667763817
1494,289134.0428961737
1495,285630.82397072215
1496,218728.6308722474
1497,166289.73712593075
1498,151804.88054645533
1499,156920.67670353278
1500,146049.26909616002
1501,154591.71898470502
1502,147981.3033325086
1503,289855.8320901488
1504,238681.73222486416
1505,221375.36047858355
1506,191048.94838281168
1507,257261.6818865876
1508,195655.66521595715
1509,156504.68719174413
1510,136304.2769391275
1511,142492.91976356762
1512,171877.6648817293
1513,142644.7781763867
1514,159903.77462870174
1515,201336.6894496191
1516,152455.2843912103
1517,166250.4528854928
1518,132540.7664221421
1519,220158.4480016338
1520,121668.05087318803
1521,121880.34042402224
1522,177152.8686499506
1523,97269.72444251087
1524,112454.9420721846
1525,118905.74564803105
1526,104746.56680907203
1527,99206.94827344976
1528,148062.43725229302
1529,136313.9242699423
1530,215439.78888318097
1531,108811.13580156457
1532,106441.51935897699
1533,149260.34112654394
1534,125735.70961341549
1535,157817.5663022266
1536,112074.61793743935
1537,71869.31324490419
1538,171000.28728964212
1539,182134.93715607474
1540,94765.83997111878
1541,140397.78236212212
1542,140623.50303775186
1543,184902.5329011381
1544,90257.22347586107
1545,121720.40140616085
1546,134880.0994069684
1547,137239.22825015135
1548,135187.38037609946
1549,118669.88949017574
1550,124603.64169173528
1551,122051.26372822556
1552,134356.1694773519
1553,137054.49175823905
1554,122995.73157159227
1555,161375.19422585462
1556,89087.27012366819
1557,96102.00911114289
1558,100137.92906933269
1559,76592.39776073508
1560,126048.41031419102
1561,117080.82299616428
1562,130290.33203548555
1563,112613.45406452271
1564,165674.44512527948
1565,148353.4937108232
1566,250180.20705791723
1567,79327.91314118655
1568,210804.9997516509
1569,115692.48278895114
1570,142420.25581154783
1571,118179.12670129683
1572,142120.0368725202
1573,242949.72066283305
1574,113219.54712187171
1575,230299.30954450098
1576,260524.4973463731
1577,182591.03216384698
1578,131070.71884397023
1579,137492.33258264314
1580,202959.45819564117
1581,152836.25516829168
1582,125386.50751386197
1583,338186.3107397548
1584,228221.59576932775
1585,141188.76634451715
1586,80329.844051588
1587,104272.50377805594
1588,145731.8628057837
1589,102527.20896070758
1590,141734.7886270861
1591,86356.11515925135
1592,118277.30639853023
1593,125214.84718372449
1594,121831.92751351808
1595,92205.09269437415
1596,209575.601454034
1597,163508.8066559973
1598,189580.63000584068
1599,185794.5941296598
1600,175871.20909118632
1601,68110.73448121017
1602,113294.29270267449
1603,89788.45612054117
1604,250436.11166361076
1605,262477.1224697338
1606,178346.91444964864
1607,187118.78240958138
1608,213155.7540963289
1609,179889.88795000798
1610,147239.03588597552
1611,141540.21128716
1612,166465.12805440192
1613,172906.83050169487
1614,132269.28525190096
1615,97652.60626305862
1616,81734.5296682733
1617,102589.68706370486
1618,126328.38211079237
1619,145174.56006894802
1620,164490.1179544055
1621,139062.8087784936
1622,139865.44101744075
1623,289379.17650951806
1624,208847.79770489136
